english,chinese,example,note,source
bellyful of,一肚子的；大量的,a bellyful of words,带讽刺语气,09-20 反智/经济放缓
belong to the unconscious,属于无意识过程,,entirely belong to the unconscious,09-22 梦境/正式英语
belt-tightening,勒紧裤腰带；削减开支,modest belt-tightening,经济阅读高频比喻,09-20 反智/经济放缓
benefit,受益；好处,benefit from sth,benefit n./v.,09-20 反智/经济放缓
best available guide,目前可获得的最佳指南,science provides the best available guide,available 修饰“现有的”,09-21 公平/气候/嗅觉
bilingual,双语的,children of immigrants tend to be bilingual,,09-23 移民/无家可归；09-24 移民/完形复盘
biomedical,生物医学的,biomedical research,bio- + medical。,Day4 情报/动物实验
bite one's nails,咬指甲；焦虑不安,isn't biting her nails yet,比喻：还没有焦虑到极点,09-20 反智/经济放缓
booth,摊位；展位；小隔间,an information booth / exhibition booth,考试阅读常见实体场景词。,Day4 情报/动物实验
brief / briefing,简报；情况介绍；简要说明,an intelligence briefing,brief 也可作 adj. “简短的”。,Day4 情报/动物实验
bring ... under control,把……置于控制之下,brought under conscious control,固定搭配；bring dreams under control,09-22 梦境/正式英语
brochure,小册子；宣传册,distribute a brochure,与 leaflet/pamphlet 同类。,Day4 情报/动物实验
bubble,泡沫；经济泡沫,bubbles in the job market,asset bubble,09-20 反智/经济放缓
buy that nonsense,相信那套胡说,Americans bought that nonsense,buy 可引申为“相信、接受说法”,09-21 公平/气候/嗅觉
bypass operation,搭桥手术,a father's bypass operation,bypass 可指“绕开”，医学中常见心脏搭桥。,Day4 情报/动物实验
cancer patient,癌症患者,cancer patients,patient n.患者,Day5 铁路/医疗
candidate,候选对象；研究对象,preferred candidates,语境可指“候选样本”,09-21 公平/气候/嗅觉
capability,能力；能力范围,have the capability to do; technical capabilities,强调“能不能做到”的能力/潜力。,Day4 情报/动物实验
captive,受制于……的；被控制的,captive shippers,captive customer=缺乏替代选择,Day5 铁路/医疗
capture spoken English,捕捉/呈现口语英语,capture spoken English on the page,capture=准确呈现,09-22 梦境/正式英语
carefree,无忧无虑的,a carefree attitude,care + free,09-20 反智/经济放缓
casualness,随意、不拘礼节,casualness and absence of deference,,09-23 移民/无家可归；09-24 移民/完形复盘
cater to,迎合；满足……需要,shops catering to a knowledgeable elite,,09-23 移民/无家可归；09-24 移民/完形复盘
"caution all right, panic not",谨慎可以，恐慌不必,作者态度总结,把握文章主旨,09-20 反智/经济放缓
census,人口普查,The 1990 Census revealed that…,,09-23 移民/无家可归；09-24 移民/完形复盘
ceremony,典礼；仪式,graduation ceremonies,ceremonies 复数,Day6 求职/字母偏见
cheer for,为……高兴；欢呼支持,home buyers would cheer for lower rates,cheer for sb/sth,09-20 反智/经济放缓
client,客户；顾客,most of her clients,专业服务业常用,09-20 反智/经济放缓
clinical,临床的,clinical treatment / depression,clinic n.,Day5 铁路/医疗
co-operative,合作的,"co-operative, group-living species",cooperate v.,09-21 公平/气候/嗅觉
co-operative feeling,合作情感,develop social/co-operative feelings,语境义,09-21 公平/气候/嗅觉
coincidence,巧合,mere coincidence,by coincidence,Day6 求职/字母偏见
comfortable about,对……感到安心,comfortable about their ability...,be comfortable with/about,09-20 反智/经济放缓
command of English,驾驭英语的能力,command the English language with skill,have a good command of,09-22 梦境/正式英语
common ancestor,共同祖先,the common ancestor of the species,evolution 主题高频,09-21 公平/气候/嗅觉
common sense,常识,"practicality, common sense...",高频短语,09-20 反智/经济放缓
comparison,比较,make a comparison,compare v.,09-21 公平/气候/嗅觉
compassionate,富有同情心的,a compassionate way,compassion(n.) → compassionate(adj.)。,Day4 情报/动物实验
compensating,补偿性的,注意与 complementary 区分,,09-24 移民/完形复盘
compensation,薪酬；补偿,salary and compensation,求职语境常指薪酬待遇,Day6 求职/字母偏见
compensation / salary,salary 是固定工资；compensation 更广，含工资、奖金、福利等整体报酬,,,Day6 求职/字母偏见
complementary,互补的,complementary programs,complement v.,09-24 移民/完形复盘；09-20 反智/经济放缓
complex / comprehensive / complementary / compensating,complex=复杂；comprehensive=全面综合；complementary=互补；compensating=补偿性的,,,09-23 移民/无家可归
complex ideas,复杂思想,convey complex ideas,complex ≠ complicated 完全等同,09-22 梦境/正式英语
component,组成部分；成分,of all the components of a good night's sleep,component of sth,09-22 梦境/正式英语
comprehensive,全面的、综合的,comprehensive programs,,09-24 移民/完形复盘
comprehensive / complementary / compensating,comprehensive=全面；complementary=互补；compensating=补偿。,,,09-24 移民/完形复盘
comprehensive programs,综合性的项目,解决多方面需求,,09-23 移民/无家可归
condemn,谴责；判定……有罪,be condemned for / condemn discrimination,强烈负面评价,Day6 求职/字母偏见
confuse the public,使公众困惑,arguments confuse the public,confuse sb；be confused about/by。,Day4 情报/动物实验
confused,困惑的,feel confused,confuse v.,09-20 反智/经济放缓
consent,同意；许可,reserved consent,give/withhold consent,Day5 铁路/医疗
consequence,后果,consequences of present actions,consequence of,09-21 公平/气候/嗅觉
conservation measure,节能/保护措施,conservation measures,conservation=保护、节约,09-21 公平/气候/嗅觉
consolidation,合并；整合；巩固,rail industry consolidation,企业兼并语境,Day5 铁路/医疗
constitute,构成,,constitute the majority,09-24 移民/完形复盘
consumption,消费,culture of consumption,,09-24 移民/完形复盘
contemplative,沉思的；善于深思的,"critical, creative, contemplative",contemplate v.,09-20 反智/经济放缓
contempt,轻视；蔑视,contempt for old-fashionedness,with contempt；contempt for,09-22 梦境/正式英语；Day5 铁路/医疗
continue along this path,继续沿着这条道路走下去,continuing along this path,path 常作比喻,09-20 反智/经济放缓
contrast,对比,pose a contrast,contrast A with B,09-21 公平/气候/嗅觉
controversy,争议,cause a controversy,controversial adj.,09-22 梦境/正式英语
convey,传达；表达,cannot convey complex ideas,convey information/meaning,09-22 梦境/正式英语
cooling,降温；放缓,economy is cooling,宏观经济常用隐喻,09-20 反智/经济放缓
coordinate,协调；统筹,coordinate service,coordination n.,Day5 铁路/医疗
coordination,协调、统筹,coordination of programs,,09-23 移民/无家可归；09-24 移民/完形复盘
cope (with),应付、处理,local governments can’t possibly cope,,09-23 移民/无家可归；09-24 移民/完形复盘
cope / approve / retain,cope(with)=应对；approve(of)=赞成；retain=保留。,,,09-24 移民/完形复盘
correlation,相关性,correlation between smoking and death,correlation between A and B,09-21 公平/气候/嗅觉
counseling,咨询；辅导,career counseling,career guidance 近义,Day6 求职/字母偏见
counter-culture,反主流文化；反文化,1960s counter-culture,counter- 表“反”,09-22 梦境/正式英语
counterbalance,制衡物；抵消力量,be a counterbalance to...,counterbalance to sth,09-20 反智/经济放缓
counterpart,对应的人/物；对手方,female human counterparts,counterpart in another group,09-21 公平/气候/嗅觉
courageous,勇敢的；有勇气的,make courageous statements,courage(n.) → courageous(adj.)。,Day4 情报/动物实验
cover / change / range / differ,range from A to B = 在 A 到 B 范围变化；differ =彼此不同；cover=覆盖；change=变化,,,09-23 移民/无家可归
craft,技艺；精心雕琢,spontaneity over craft,不是“手工艺品”,09-22 梦境/正式英语
criteria,标准；条件（criterion 的复数）,job-search criteria,按条件筛选,Day6 求职/字母偏见
critical,至关重要的,it is critical that...,critical that + (should) do,09-21 公平/气候/嗅觉
crucial,关键的；至关重要的,it is crucial that...,≈ critical；crucial to/for,09-21 公平/气候/嗅觉；09-20 反智/经济放缓
cruelty,残酷；虐待,allegations of cruelty to animals,cruel(adj.) → cruelty(n.)。,Day4 情报/动物实验
culture of consumption,消费文化,department stores 推动的共同文化,,09-23 移民/无家可归
daytime anxiety,白天焦虑,,avoid anxiety in the daytime,09-22 梦境/正式英语
dealership,经销商；经销店,car dealerships,dealer 经销商,09-20 反智/经济放缓
deceptive appearance of truth,具有迷惑性的“真实外观”,acquire a deceptive appearance of truth,deceptive=欺骗性的。,Day4 情报/动物实验
decision-making,决策,helps decision-making,复合名词,09-21 公平/气候/嗅觉
decline of,……的衰落,decline of formal English,decline in + 数量/程度,09-22 梦境/正式英语
deference,尊重、顺从,absence of deference：缺少恭敬/等级礼仪,,09-23 移民/无家可归；09-24 移民/完形复盘
degradation,退化；恶化,The Degradation of Language...,degrade v.,09-22 梦境/正式英语
deliberately harm,故意伤害,deliberately harm an animal,deliberately=故意地。,Day4 情报/动物实验
democratizing uniformity,大众化、民主化的统一性,形容大众文化把不同阶层拉进共同的消费/表达方式,,09-23 移民/无家可归
denote,表示；指代,The word 'talking' denotes...,denote 比 mean 更正式,09-22 梦境/正式英语
depression,抑郁；萧条,clinical depression,medical/economic two senses,Day5 铁路/医疗
desire and fear,欲望与恐惧,shadows of unconscious desires and fears,成对理解,09-22 梦境/正式英语
desperate,绝望的；走投无路的,a desperate situation,despair n.,09-20 反智/经济放缓
detect,检测；察觉,detect a smell/signal,发现微弱信号,09-21 公平/气候/嗅觉
deteriorating,恶化的,a dark and deteriorating social environment,,09-23 移民/无家可归；09-24 移民/完形复盘
determine,确定；决定,determine the cause,确定结果/原因,09-21 公平/气候/嗅觉
diffuse,扩散,gas diffuses,更强调自然扩散,09-21 公平/气候/嗅觉
dilute,稀释,diluted solution/smell,浓度降低,09-21 公平/气候/嗅觉
discontent (with),不满；不满意,discontent with animal research,常与 with 搭配。,Day4 情报/动物实验
discourse,话语、言谈；论述,dress and discourse：穿着与言谈,,09-23 移民/无家可归；09-24 移民/完形复盘
discover,发现,discover a fact,原先未知,09-21 公平/气候/嗅觉
discrimination,歧视；区别对待,discrimination against,against 后接对象,Day6 求职/字母偏见
discrimination / discriminatory,歧视；差别待遇 / 歧视性的,rate discrimination,discriminate against,Day5 铁路/医疗
disintegrate,瓦解；解体,cells/tissues disintegrate,physical breakdown,Day5 铁路/医疗
disperse,分散；散开,particles disperse,从集中到散开,09-21 公平/气候/嗅觉
dissolve,溶解,salt dissolves in water,物质进入溶液,09-21 公平/气候/嗅觉
distaste for,对……的厌恶,American distaste for intellectual pursuits,distaste for sth,09-20 反智/经济放缓
distinguish,区分；辨别,distinguish A from B,强调区别,09-21 公平/气候/嗅觉
divisive,造成分裂的,divisive issues,,09-23 移民/无家可归；09-24 移民/完形复盘
do without,没有……也能过；不需要,a service people can do without,高频短语,09-20 反智/经济放缓
downscale,降低档次；缩减,downscaling shopping,downscale spending,09-20 反智/经济放缓
drawback,缺点；弊端,one drawback is that...,≈ disadvantage,Day6 求职/字母偏见
drawback / disadvantage,都指缺点；drawback 常指某方案实际使用中的不利之处,,,Day6 求职/字母偏见
dreadful,糟糕的；可怕的,dreadful headlines,比 bad 更强,09-20 反智/经济放缓
eagerness to,渴望做……,eagerness to identify with...,eager to do,09-20 反智/经济放缓
efficiency,效率,improve efficiency,,Day6 求职/字母偏见
elegant atmosphere,优雅的氛围,百货商店语境,,09-23 移民/无家可归
elevated,高雅的；提升的,even the most well regarded wrote...,elevated style 语境,09-22 梦境/正式英语
endless studies,没完没了的研究,endless studies kill action,endless=无休止的,09-21 公平/气候/嗅觉
enlist,征召；邀请加入,a panel enlisted by the White House,enlist sb to do,09-21 公平/气候/嗅觉
entertaining,有趣的；令人愉快的,just as entertaining,entertain v.,09-22 梦境/正式英语
enthusiastic support,热情支持,show enthusiastic support,attitude phrase；最强正向态度之一,Day5 铁路/医疗
environmentally sound,环境上合理的；环保可靠的,plants be environmentally sound,sound=合理可靠的,09-21 公平/气候/嗅觉
episode,一段经历；事件；一集,give an episode of the information war,语境义常为“一段事件/插曲”。,Day4 情报/动物实验
equally involved,同样参与其中,not all parts ... are equally involved,be involved in,09-22 梦境/正式英语
espionage,间谍活动；谍报工作,electronic espionage / industrial espionage,比 spy 更书面。,Day4 情报/动物实验
estimate,估计；估算值,estimates range from A to B,,09-24 移民/完形复盘
estimates range from A to B,估计值从 A 到 B 不等,range from…to… 是固定搭配,,09-23 移民/无家可归
even if,即使,even if + 假设条件,让步假设,09-21 公平/气候/嗅觉
evolve from,由……发展而来,evolves from common sense,evolve into/from,09-20 反智/经济放缓
evolve independently,独立演化,fairness evolved independently,evolve v.,09-21 公平/气候/嗅觉
exemplify,例证；体现,Huckleberry Finn exemplified...,exemplify = be an example of,09-20 反智/经济放缓
exercise conscious control,实施有意识的控制,,exercise control over,09-22 梦境/正式英语
expect sb to do,期待某人做……,parents expect children to acquire...,常考结构,09-20 反智/经济放缓
exploitation,剥削；利用,exploitation and control,exploit→exploitation,09-20 反智/经济放缓
expressive,有表现力的,more expressive than...,expressiveness n.,09-22 梦境/正式英语
expressive / expression,富表现力的 / 表达,powerfully expressive,,09-22 梦境/正式英语
extinguish,熄灭；扑灭；使消亡,extinguish the embers,可用于 fire/hope/progress 等抽象对象。,Day4 情报/动物实验
extravagantly,挥霍地；过度地,spend extravagantly,extravagant adj.；spend extravagantly,Day5 铁路/医疗
fact of life,不可避免的生活现实,accept death as a fact of life,固定表达,Day5 铁路/医疗
failure to confront,未能正视/面对……,failure to confront death,confront=直面,Day5 铁路/医疗
fair pay / pay rise,公平报酬 / 加薪,a fair pay rise,pay 可作“薪酬”；rise 为英式“上涨、加薪”,09-21 公平/气候/嗅觉
fair play,公平竞争；公平对待,ensure fair play,体育比喻→公平,Day5 铁路/医疗
fairly evenly spread,相当均匀地分布,be fairly evenly spread,fairly=相当,Day6 求职/字母偏见
fairness,公平,a sense of fairness,fair adj.,09-21 公平/气候/嗅觉
fashion,制定；塑造,fashioning conservation measures,fashion v.=形成、制定,09-21 公平/气候/嗅觉
federal study predicts that…,联邦研究预测……,predict + 宾语从句,,09-23 移民/无家可归
file and polish nails,修锉并涂亮指甲,"cutting, filing or polishing nails",file v.=锉,09-20 反智/经济放缓
financial incentive,财政/经济激励,offer financial incentives,incentive to do,09-21 公平/气候/嗅觉
fit into,融入；适应,immigrants are quickly fitting into this common culture,,09-23 移民/无家可归；09-24 移民/完形复盘
float through,飘过；在……中飘动,smells float through the air,float v.,09-21 公平/气候/嗅觉
folk(s),人们；普通人,most folks,较口语,09-20 反智/经济放缓
for sure,确定地；无疑地,we didn't know for sure,口语高频,09-21 公平/气候/嗅觉
for the sake of,为了……本身；为了……的缘故,for the sake of knowledge,高频固定搭配,09-20 反智/经济放缓
foreign-born,国外出生的；外来移民的,foreign-born Asians and Hispanics,,09-23 移民/无家可归；09-24 移民/完形复盘
formal / informal / informality,正式 / 非正式 / 非正式性,formal English; informality,,09-22 梦境/正式英语
formal speech/writing,正式口语/写作,"death of formal speech, writing...",与 spoken English 对比,09-22 梦境/正式英语
formulate,系统地提出；制定,Freud formulated his revolutionary theory,formulate a theory/plan,09-22 梦境/正式英语
freight,货运；货物,freight traffic / freight rates,铁路语境高频,Day5 铁路/医疗
frenzied,狂热的；疯狂的,frenzied overbidding,frenzy n.,09-20 反智/经济放缓
from bad to worse,每况愈下；越来越糟,turn from bad to worse,固定短语,09-21 公平/气候/嗅觉
from many quarters,来自各方面,voices come from many quarters,quarter=方面/群体,09-21 公平/气候/嗅觉
fruitless,无成果的、徒劳的,,fruitless effort,09-24 移民/完形复盘
functional / artistic,实用功能性的 / 艺术审美性的,paper plates vs china,本题核心比喻,09-22 梦境/正式英语
fund low-cost housing,资助低成本住房,fund 作动词“提供资金”,,09-23 移民/无家可归；09-24 移民/完形复盘
futile,徒劳的；无效的,futile treatment,≈ useless but formal,Day5 铁路/医疗
gene necessary to,……所必需的基因,genes necessary to generate...,necessary for/to,09-21 公平/气候/嗅觉
generate,产生；生成,feelings generated during the day,generate electricity/data；generate emotion/data,09-21 公平/气候/嗅觉；09-22 梦境/正式英语
generous,慷慨的,more generous,generosity n.,09-21 公平/气候/嗅觉
genetically programmed,由基因预设的,genetically programmed to...,programmed to do,Day5 铁路/医疗
get moving,行动起来,we should get moving,口语高频,09-21 公平/气候/嗅觉
get to the root(s) of,找到……的根源；追根究底,get to the roots of an issue,高频写作/阅读短语。,Day4 情报/动物实验
gold rush,淘金热；抢购热潮,a new gold rush,比喻资本涌入,09-20 反智/经济放缓
grasp,理解；抓住,intelligence seeks to grasp...,grasp an idea,09-20 反智/经济放缓
grave,坟墓,went to early graves,early grave=早逝,09-21 公平/气候/嗅觉
graveyard,墓地；（文中比喻）语言消亡之地,America as a “graveyard” for languages：语言逐渐消失的比喻,,09-23 移民/无家可归；09-24 移民/完形复盘
greatness,伟大；巨大程度,threatens its greatness,great adj.,Day5 铁路/医疗
grievance,不满；委屈；抱怨,a sense of grievance,grievance against/about,09-21 公平/气候/嗅觉
grieve / grievance,悲伤 / 不满、委屈,grieve over; sense of grievance（注意词形不同）,,09-22 梦境/正式英语
grieve over,为……感到悲伤,grieving over the loss,grief n.,09-22 梦境/正式英语
grind out,机械地、大量地产出,the system grinds out people,带贬义，像机器生产,09-20 反智/经济放缓
growing threat,日益增长的威胁,the growing threat of global warming,threat to/of,09-21 公平/气候/嗅觉
guarantee,保证；担保,guarantee the truthfulness of information,guarantee + n.; guarantee that...,Day4 情报/动物实验
harness,利用；驾驭,if these events can be harnessed,harness energy/power,09-22 梦境/正式英语
help sb toward independence,帮助某人走向独立,toward 强调方向,,09-23 移民/无家可归
help sb. toward independence,帮助某人走向独立,toward 表方向,,09-24 移民/完形复盘
Hence / But / Even / Only,Hence=因此；But=转折；Even=甚至；Only=只是/仅仅,,,09-23 移民/无家可归
hi-tech means,高科技手段,employ hi-tech means in research,means 单复数同形。,Day4 情报/动物实验
hinder,阻碍,hinder progress,≈ impede,09-21 公平/气候/嗅觉
historian,历史学家,historian and professor,history→historian,09-20 反智/经济放缓
hold steady,保持稳定,home prices are holding steady,经济数据常用,09-20 反智/经济放缓
homogenize / homogenizing,使同质化、使趋同,homogenizing people；题目同义替换为 assimilating,,09-23 移民/无家可归；09-24 移民/完形复盘
hostility to,对……的敌意,hostility to intellect,hostile to,09-20 反智/经济放缓
humble / noble,卑微的 / 高贵的,选项对比,humble 也可“谦逊”,09-22 梦境/正式英语
humiliated,受羞辱的；感到丢脸的,feel humiliated,humiliate sb,Day6 求职/字母偏见
identical,完全相同的,views are identical,比 similar 强,09-20 反智/经济放缓
identifiable,可识别的,identifiable signal,identify,09-21 公平/气候/嗅觉
identify,识别；确定,identify what is upsetting,identify the cause,09-22 梦境/正式英语
identify / visualize,识别 / 在脑中想象,identify the problem; visualize an ending,,09-22 梦境/正式英语
identify with,认同；产生共鸣,identify with children,不是“识别”,09-20 反智/经济放缓
identifying,识别、确认,,identify ≠ associate,09-24 移民/完形复盘
if only,要是……就好了,表达愿望/遗憾,不要和 only if 混,09-21 公平/气候/嗅觉
ill-treated,受到不公正/不良对待的,be ill-treated,ill- 作前缀表示不好,Day6 求职/字母偏见
immunization,免疫；免疫接种,oppose immunizations,≈ vaccination（接种）。,Day4 情报/动物实验
implicit,含蓄的；隐含的,implicit counseling,未明说但隐含提供,Day6 求职/字母偏见
improper,不合适的；不恰当的,improper behavior / an improper remark,≠ improper “错误”这么简单，更强调“不符合规范/场合”。,Day4 情报/动物实验
impulse,冲动；脉冲,nerve impulse,生理/物理语境,09-21 公平/气候/嗅觉
in despair,绝望,not in despair,despair n./v.,09-20 反智/经济放缓
in spite of / despite,尽管,in spite of endless talk of difference：尽管不断谈论“差异”,,09-23 移民/无家可归；09-24 移民/完形复盘
inability,无能力；不能,inability to cure the disease,unable adj.,Day5 铁路/医疗
inadequate,不充分的；不足的,research alone is inadequate,≈ insufficient,09-21 公平/气候/嗅觉
inclined to,倾向于……,be inclined to weigh...,≈ tend to,09-21 公平/气候/嗅觉
incompetent,无能力的；不称职的,an incompetent worker,competence,09-21 公平/气候/嗅觉
inconclusive,没有定论的；不确定的,the evidence was inconclusive,conclusive 反义,09-21 公平/气候/嗅觉
Indeed / Likewise / Therefore / Furthermore,Indeed=确实，强化前句；Likewise=同样；Therefore=因此；Furthermore=此外递进。,,,09-24 移民/完形复盘
independent voice,独立立场；独立声音,keep its independent voice,阅读中常指机构保持独立判断。,Day4 情报/动物实验
index / indices,指标；指数,social indices / indices of assimilation,,09-24 移民/完形复盘
indicate,表明；指示,indicate the danger of fire,indicator n.,09-21 公平/气候/嗅觉
indicator,指标；指示物,a good economic indicator,economic indicator,09-20 反智/经济放缓
indifferent,漠不关心的,,be indifferent to,Day5 铁路/医疗
indignation,愤慨；义愤,feelings of righteous indignation,较强的道德愤怒,09-21 公平/气候/嗅觉
indispensable,不可或缺的,be indispensable to/for,,Day6 求职/字母偏见
induce,引起；诱发,enough to induce resentment,induce sb to do / induce sth,09-21 公平/气候/嗅觉
ineffective,无效的,an ineffective method,effect,09-21 公平/气候/嗅觉
inefficient,效率低的,an inefficient system,efficiency,09-21 公平/气候/嗅觉
inevitable,不可避免的,an inevitable decline,inevitably adv.,09-22 梦境/正式英语
inflating / expanding / increasing / extending,increase=数量上增加；expand=规模扩大；extend=范围/时间延伸；inflate=膨胀、抬高,,,09-23 移民/无家可归
informality,非正式性,denote informality,formal 的反义,09-22 梦境/正式英语
ingredient,要素；成分,a necessary ingredient to a boom,key ingredient,09-20 反智/经济放缓
innate goodness,天生的善良,preserve his innate goodness,innate=与生俱来的,09-20 反智/经济放缓
innermost desires and fears,内心最深处的欲望与恐惧,,innermost=最内在的,09-22 梦境/正式英语
